pid,r_count
18620110,40
18620090,40
18620080,40
18620120,40
55021060,40
55021040,40
18620070,40
18620130,40
10020210,38
10021410,38
10021350,38
10022010,38
10020420,38
10021520,38
10020830,31
10020100,25
55132410,22
55132540,21
18620040,17
55132510,15
55131400,12
55131390,12
55132420,12
55131230,11


18620110,18620090,18620080,18620120,55021060,55021040,18620070,18620130,
10020210,10021410,10021350,10022010,10020420,10021520,10020830,10020100,
55132410,55132540,18620040,55132510,55131400,55131390,55132420,55131230,
