rc,m.meas_pid
31,18620080
31,18620040
31,10020420
31,30221010
31,55131390
31,30221110
31,20020270
31,19520070
31,19520130
30,10020870
30,10020830
30,10022010
30,14320230
30,10021360
30,55131370
30,10020880
30,10020980
30,76820860
19,10020410
15,55131310
12,10021700
7,58020040
5,18620070
3,10020950
1,55021000
1,18620090
1,14320970
1,960810
1,18620000
1,58020050
1,58020010
1,19520050
1,20020120
1,20020110

31-3
18620080,18620040,10020420,30221010,55131390,30221110,20020270,19520070,
19520130,10020870,10020830,10022010,14320230,10021360,55131370,10020880,
10020980,76820860,10020410,55131310,10021700,58020040,10020950,18620070,
